SN,MPLS/Switch,Full SOLAR POP,Down Time,Up Time,Type,Region,Reason/Issue,Date,Duration,Remarks(from mail if any),Category,,Province
46,mdamak <->mitahari [30G] -BL Fiber,,7/23/2025 17:17:28,7/23/2025 17:59:45,Link Down,********,Broadlink issue,7th Shrawan,"0 days, 00 hrs, 42 min",,Fiber,0.02936342593,**********
47,mbaniyani-sw1,FALSE,7/23/2025 17:23:02,7/23/2025 17:33:34,Switch,Eastern Region,Unknown,7th Shrawan,"0 days, 00 hrs, 10 min",,Unknown,0.007314814815,**********
48,mdaphelake-sw1,TRUE,7/23/2025 17:28:57,7/23/2025 18:10:12,Switch,Far Western Region,Unknown,7th Shrawan,"0 days, 00 hrs, 41 min",,Unknown,0.02864583333,**********
49,mfaparbari-sw1,FALSE,7/23/2025 17:35:09,7/23/2025 18:07:20,Switch,Central Region,Rebooted,7th Shrawan,"0 days, 00 hrs, 32 min",,Power,0.02234953704,**********
50,mkhawadanda-sw1,FALSE,7/23/2025 17:58:34,7/23/2025 20:25:43,Switch,Central Region,Rebooted,7th Shrawan,"0 days, 02 hrs, 27 min",,Power,0.1021875,Prov3
51,mbhajani-sw1,FALSE,7/23/2025 18:01:20,7/23/2025 18:56:09,Switch,Far Western Region,Rebooted,7th Shrawan,"0 days, 00 hrs, 54 min",,Power,0.03806712963,**********
52,mkakanidanda-sw1,TRUE,7/23/2025 18:46:32,7/24/2025 9:16:32,Switch,Central Region,Full Solar POP,7th Shrawan,"0 days, 14 hrs, 30 min",,Power,0.6041666667,Prov3
53,mdaphelake-sw1,TRUE,7/23/2025 18:41:13,7/24/2025 6:23:46,Switch,Far Western Region,Full Solar POP,7th Shrawan,"0 days, 11 hrs, 42 min",,Power,0.4878819444,**********
54,msirdibas-sw1,TRUE,7/23/2025 18:50:25,7/24/2025 7:12:40,Switch,Gorkha NTA,Full Solar POP,7th Shrawan,"0 days, 12 hrs, 22 min",,Power,0.5154513889,**********
55,mbhojpur - mhille [TM-Fiber][10G],,7/23/2025 17:22:55,7/25/2025 16:31:00,Optical Power,********,Optical Power,7th Shrawan,"1 days, 23 hrs, 08 min","""ETR has been extended to 1.5 hours.""",Fiber,1.963946759,**********
56,mnarayanthan,FALSE,7/23/2025 19:50:47,7/23/2025 19:54:41,MPLS,Central Region,Rebooted,7th Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002708333333,Prov3
57,mbaneshwore-smart-sw1,FALSE,7/23/2025 19:53:55,7/23/2025 20:01:50,Switch,Central Region,Unknown,7th Shrawan,"0 days, 00 hrs, 07 min",,Unknown,0.00549768519,Prov3
58,mkataridanda-sw1,FALSE,7/23/2025 22:30:16,7/24/2025 5:16:18,Switch,Eastern Region,Rebooted,7th Shrawan,"0 days, 06 hrs, 46 min",,Power,0.2819675926,**********
59,mpadampokhari-sw1,FALSE,7/23/2025 22:35:00,7/24/2025 10:07:27,Switch,Central Region,Unknown,7th Shrawan,"0 days, 11 hrs, 32 min",,Unknown,0.4808680556,Prov3
60,mjamune-sw1,FALSE,7/23/2025 22:55:53,7/24/2025 7:28:10,Switch,Highway PoP,Rebooted,7th Shrawan,"0 days, 08 hrs, 32 min",,Power,0.3557523148,Prov4
61,mpatan-baitadi-sw1,,7/23/2025 22:56:12,7/24/2025 6:58:23,Switch,********,Rebooted,7th Shrawan,"0 days, 08 hrs, 02 min",,Power,0.334849537,Prov7
1,mdatahub - mbal [Switchatar-ADSS-Route][100G],,7/24/2025 0:46:00,7/24/2025 9:14:00,Link Down,********,Fiber Breakage,8th Shrawan,"0 days, 08 hrs, 28 min",,Fiber,0.3527777778,**********
2,mpalpa-sw1,FALSE,7/24/2025 1:08:00,7/24/2025 1:11:00,Switch,Western Region,Rebooted,8th Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002083333333,Prov5
3,mbeshisahar-sw1,FALSE,7/24/2025 1:11:00,7/24/2025 1:31:00,Switch,Highway PoP,Rebooted,8th Shrawan,"0 days, 00 hrs, 20 min",,Power,0.01388888889,Prov4
4,mbeshisahar-sw1,FALSE,7/24/2025 1:38:00,7/24/2025 1:44:00,Switch,Highway PoP,Rebooted,8th Shrawan,"0 days, 00 hrs, 06 min",,Power,0.004166666666,Prov4
5,mjujeneta-sw1,FALSE,7/24/2025 2:56:00,7/24/2025 2:58:00,Switch,Western Region,Rebooted,8th Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001388888893,Prov5
6,mtatopani-sw1,FALSE,7/24/2025 3:19:00,7/24/2025 10:19:54,Switch,********,Unknown,8th Shrawan,"0 days, 07 hrs, 00 min",,Unknown,0.2922916667,Prov3
7,mkohalpurnmc-sw1,FALSE,7/24/2025 3:26:00,7/24/2025 3:31:00,Switch,Far Western Region,Rebooted,8th Shrawan,"0 days, 00 hrs, 05 min",,Power,0.003472222219,Prov5
8,mbirgunj-nea - NDS-for-Transit [80G],,7/24/2025 3:46:00,7/24/2025 4:27:00,Link Down,********,Unknown,8th Shrawan,"0 days, 00 hrs, 41 min",,Unknown,0.02847222222,**********
9,mrindanda-sw1,FALSE,7/24/2025 3:41:44,7/24/2025 7:10:15,Switch,Central Region,Rebooted,8th Shrawan,"0 days, 03 hrs, 28 min",,Power,0.1448032407,Prov3
10,mtaplejung,FALSE,7/24/2025 4:01:57,7/24/2025 4:53:00,MPLS,Eastern Region,Rebooted,8th Shrawan,"0 days, 00 hrs, 51 min",,Power,0.03545138889,Prov1
11,mpokhara-satmane-sw1,FALSE,7/24/2025 4:47:00,7/24/2025 4:49:00,Switch,Western Region,Rebooted,8th Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001388888886,Prov4
12,mbuditola-sw1,FALSE,7/24/2025 4:52:40,7/24/2025 7:34:50,Switch,Far Western Region,Rebooted,8th Shrawan,"0 days, 02 hrs, 42 min",,Power,0.1126157407,Prov7
13,mbarahathawa-sw1,FALSE,7/24/2025 4:55:58,7/24/2025 6:17:32,Switch,********,MCB Trip,8th Shrawan,"0 days, 01 hrs, 21 min",,Power,0.05664351852,Prov2
14,mchapur - mmalangwa [20G],,7/24/2025 5:02:34,7/24/2025 6:10:51,Link Down,********,Unknown,8th Shrawan,"0 days, 01 hrs, 08 min",,Unknown,0.04741898148,**********
15,mchitredanda-lamjung-sw1,,7/24/2025 6:00:22,7/24/2025 8:20:28,Switch,********,Rebooted,8th Shrawan,"0 days, 02 hrs, 20 min",,Power,0.09729166667,Prov5
16,mnaamdanda-sw1,TRUE,7/24/2025 7:10:17,7/24/2025 7:36:29,Switch,Central Region,Full Solar POP,8th Shrawan,"0 days, 00 hrs, 26 min",,Power,0.01819444444,Prov3
17,mletang,FALSE,7/24/2025 8:11:00,7/24/2025 8:25:00,MPLS,Eastern Region,Rebooted,8th Shrawan,"0 days, 00 hrs, 14 min",,Power,0.009722222225,Prov1
18,mbal-mmarsyangdi [100G] // mbal-mbutwal [200G],,7/24/2025 8:21:00,7/24/2025 8:21:00,Link Flap,********,Unknown,8th Shrawan,"0 days, 00 hrs, 00 min",,Unknown,0,**********
19,mridi <->marghakhanchi [10G] -TM Fiber,,7/24/2025 8:40:00,7/25/2025 18:29:16,Link Down,********,Fiber Breakage,8th Shrawan,"1 days, 09 hrs, 49 min","""Team is currently working on the site. ETR is 1 hour. """,Fiber,1.409212963,**********
20,msakhu <-> mlapsiphedi [10G],,7/24/2025 7:58:28,7/25/2025 10:18:28,Link Down,********,Fiber Breakage,8th Shrawan,"1 days, 02 hrs, 20 min",Fiber Breakages is measured at the distance of 4.6 km from Sakhu. Team is working.,Fiber,1.097222222,**********
21,mbadi-sw1,,7/24/2025 4:52:40,7/24/2025 11:06:30,Switch,********,Unknown,8th Shrawan,"0 days, 06 hrs, 13 min",,Unknown,0.2596064815,Prov7
22,mkalikot-sw1,FALSE,7/24/2025 8:16:59,7/24/2025 9:22:34,Switch,Far Western Region,Rebooted,8th Shrawan,"0 days, 01 hrs, 05 min",,Power,0.04554398148,Prov7
23,mletang,FALSE,7/24/2025 9:27:00,7/24/2025 10:32:56,MPLS,Eastern Region,Rebooted,8th Shrawan,"0 days, 01 hrs, 05 min",,Power,0.04578703704,Prov1
24,mkhadichaur - mcharikot,,7/24/2025 10:06:00,7/24/2025 10:38:27,Link Down,********,Team Working,8th Shrawan,"0 days, 00 hrs, 32 min",,Fiber,0.02253472222,**********
25,mbhaisepati <->mtalchikhel,,7/24/2025 10:21:27,7/24/2025 13:34:30,Link Down,********,Fiber Breakage,8th Shrawan,"0 days, 03 hrs, 13 min",,Fiber,0.1340625,**********
26,mjaygadh-sw1,,7/24/2025 10:26:26,7/24/2025 12:36:31,Switch,********,Rebooted,8th Shrawan,"0 days, 02 hrs, 10 min",,Power,0.09033564814,Prov7
27,mbirtamode <-> mjhiljhile,,7/24/2025 10:20:29,7/25/2025 10:01:43,Link Down,********,Fiber Breakage,8th Shrawan,"0 days, 23 hrs, 41 min","As per Bijay Jee, team is heading for this issue.",Fiber,0.9869675926,**********
28,mdandagaun-sw1,FALSE,7/24/2025 11:03:44,7/24/2025 11:24:00,Switch,Central Region,Unknown,8th Shrawan,"0 days, 00 hrs, 20 min",,Unknown,0.01407407408,Prov3
29,mmusikotbazaar,,7/24/2025 11:22:44,7/24/2025 12:12:50,MPLS,Far Western Region,Backup issue,8th Shrawan,"0 days, 00 hrs, 50 min",,Power,0.03479166667,Prov6
30,mbasantapur <->mjirikhimti [10G],,7/24/2025 11:44:00,7/24/2025 14:43:42,Link Down,********,Fiber Issue,8th Shrawan,"0 days, 02 hrs, 59 min",,Fiber,0.1247916667,**********
31,mchhetrapur-dls-sw1 <->mrampur-dls-sw1,,7/24/2025 11:30:29,7/24/2025 18:14:15,Link Down,********,Fiber Burnt,8th Shrawan,"0 days, 06 hrs, 43 min",,Fiber,0.2803935185,**********
32,mdallu-sw1 <->msoaltee,,7/24/2025 13:32:02,7/24/2025 15:38:04,Link Down,********,Fiber Breakage,8th Shrawan,"0 days, 02 hrs, 06 min",,Fiber,0.08752314815,**********
33,mjamune-sw1,FALSE,7/24/2025 13:58:10,7/24/2025 16:57:39,Switch,Highway PoP,Rebooted,8th Shrawan,"0 days, 02 hrs, 59 min",,Power,0.1246412037,Prov4
34,mairport-tia-WL-sw3,,7/24/2025 14:19:11,7/24/2025 14:34:37,Switch,********,Rebooted,8th Shrawan,"0 days, 00 hrs, 15 min",,Power,0.01071759259,Prov3
35,msindhuli-bhirgaun-sw1,FALSE,7/24/2025 14:41:11,7/24/2025 14:53:25,Switch,Central Region,Routed,8th Shrawan,"0 days, 00 hrs, 12 min",,Fiber,0.00849537037,Prov3
36,mlahan<->mitahari -ch [40G],,7/24/2025 14:38:46,7/24/2025 15:44:43,Link Down,********,Fiber Issue,8th Shrawan,"0 days, 01 hrs, 05 min",,Fiber,0.04579861111,**********
37,igPort:0/0/0/21 Connected-to-Dharan-NAS1-CCR-1072-BPKIHS at-mdharan,,7/24/2025 14:25:00,7/24/2025 14:26:00,Link Flap,********,Unknown,8th Shrawan,"0 days, 00 hrs, 01 min",,Unknown,0.0006944444467,**********
38,mjantilake-sw1,FALSE,7/24/2025 15:20:00,7/24/2025 17:04:35,Switch,Far Western Region,Manual Down/Weather,8th Shrawan,"0 days, 01 hrs, 44 min",,Manual Down,0.07262731481,Prov6
39,mbeshisahar-sw1,FALSE,7/24/2025 15:30:00,7/24/2025 15:34:00,Switch,Highway PoP,Rebooted,8th Shrawan,"0 days, 00 hrs, 04 min",,Power,0.002777777772,Prov4
40,mbardibas <-> mmirchaiya [60G] - BL,,7/24/2025 16:51:11,7/24/2025 19:25:17,Link Down,********,Fiber Issue,8th Shrawan,"0 days, 02 hrs, 34 min",informed to BL.,Fiber,0.1070138889,**********
41,mdamak-mpathari[10G],,7/24/2025 16:45:00,7/24/2025 19:16:45,Link Down,********,Fiber Breakage,8th Shrawan,"0 days, 02 hrs, 31 min",,Fiber,0.1053819444,**********
42,murlabari-dls-sw1,FALSE,7/24/2025 16:45:00,7/24/2025 18:41:54,Switch,Eastern Region,Fiber Breakage,8th Shrawan,"0 days, 01 hrs, 56 min",,Fiber,0.08118055556,Prov1
43,mshreenagar-dls-sw1,,7/24/2025 17:00:00,7/24/2025 17:17:00,Switch,********,Unknown,8th Shrawan,"0 days, 00 hrs, 17 min",,Unknown,0.01180555555,Prov5
44,mmanahari-mhetauda[10G],,7/24/2025 17:01:00,7/24/2025 17:10:12,Link Down,********,Fiber Issue,8th Shrawan,"0 days, 00 hrs, 09 min",,Fiber,0.006388888891,**********
45,mbeshisahar-sw1,FALSE,7/24/2025 17:10:00,7/24/2025 17:37:00,Switch,Highway PoP,Rebooted,8th Shrawan,"0 days, 00 hrs, 27 min",,Power,0.01875,Prov4
46,mtikapur-dls-sw1 <-> mlamki CRC,,7/24/2025 17:19:00,7/29/2025 14:06:40,CRC,********,CRC Issue,8th Shrawan,"4 days, 20 hrs, 47 min",As per Tikapur team there is raining start so they are unable to work now. So the task is post pond for tomorrow morning they will update us when the task is start. Thank you,Fiber,4.866435185,**********
47,mkarsiya-sw1,FALSE,7/24/2025 17:26:00,7/24/2025 18:51:18,Switch,Eastern Region,Routed,8th Shrawan,"0 days, 01 hrs, 25 min",,Fiber,0.0592361111,Prov1
48,mdoti-sw1,FALSE,7/24/2025 17:24:21,7/24/2025 17:45:33,Switch,Far Western Region,Rebooted,8th Shrawan,"0 days, 00 hrs, 21 min",,Power,0.01472222222,Prov7
49,msardi-sw1,FALSE,7/24/2025 17:38:00,7/24/2025 17:47:00,Switch,Western Region,Rebooted,8th Shrawan,"0 days, 00 hrs, 09 min",,Power,0.006249999999,Prov5
50,msindhulibazaar-sw1-msindhuli-bhirgaun-sw1,,7/24/2025 14:41:11,7/29/2025 17:15:01,Link Down,********,Device Replacement,8th Shrawan,"5 days, 02 hrs, 33 min","Dear team, We have send below goods to bardibas via Ev micro. Bagmati pradesh 02 774 9810092799 9847697505 Power beam 500(old)                     1pcs Total 1 cartoon",Maintainance,5.106828704,**********
51,msirdibas-sw1,TRUE,7/24/2025 18:42:41,7/25/2025 8:04:52,Switch,Gorkha NTA,Full Solar POP,8th Shrawan,"0 days, 13 hrs, 22 min",,Power,0.5570717593,**********
52,mjamune-sw1,FALSE,7/24/2025 18:30:20,7/25/2025 4:22:31,Switch,Highway PoP,Unknown,8th Shrawan,"0 days, 09 hrs, 52 min",,Unknown,0.4112384259,Prov4
53,GigPort:0/0/0/21 Connected-to-Dharan-NAS1-CCR-1072-BPKIHS at-mdharan,,7/24/2025 18:53:00,7/24/2025 18:53:00,Link Flap,********,Unknown,8th Shrawan,"0 days, 00 hrs, 00 min",,Unknown,0,**********
54,mnepalgunj-sipradi-sw1,FALSE,7/24/2025 18:21:34,7/24/2025 20:33:44,Switch,Far Western Region,Unknown,8th Shrawan,"0 days, 02 hrs, 12 min",,Unknown,0.09178240741,Prov5
55,mdaphelake-sw1,TRUE,7/24/2025 18:55:27,7/25/2025 6:34:01,Switch,Far Western Region,Full Solar POP,8th Shrawan,"0 days, 11 hrs, 38 min",,Power,0.4851157407,**********
56,msimrangadh <-> mkalaiya [40G],,7/24/2025 19:10:00,7/25/2025 2:13:50,Link Down,********,Device Issue,8th Shrawan,"0 days, 07 hrs, 03 min",As  per Abhimanyu ji Link is affected due to down gkaraiyamai,Device,0.2943287037,**********
57,mbrt <-> Connected-to-Airtel-Forbisganj-for-IPT-LAG-ae3-East-Route-LSI-14048133-xe-2-1-10,,7/24/2025 19:01:03,7/25/2025 11:32:57,Link Down,********,Fiber Breakage,8th Shrawan,"0 days, 16 hrs, 31 min","As per Kirtan Jee, team is heading for this issue.",Fiber,0.6888194444,**********
58,mbrt-neuro-sw1 <-> mkarsiya-sw1,,7/24/2025 17:26:20,7/25/2025 4:30:00,Link Down,********,Fiber Breakage,8th Shrawan,"0 days, 11 hrs, 03 min"," As per Dipak ji, link has been maintained, power is tested and fine now. So, we will test the link tonight and will update.",Fiber,0.4608796296,**********
59,mraigaun-surya-mv-sw1,FALSE,7/24/2025 19:14:01,7/24/2025 19:46:13,Switch,Makawanpur NTA,Rebooted,8th Shrawan,"0 days, 00 hrs, 32 min",,Power,0.02236111111,**********
60,mbaglung-te-0-0-26:To-mkusma-te-0-0-13,,7/24/2025 19:45:23,7/24/2025 22:10:00,Traffic Congestion,********,Congestion,8th Shrawan,"0 days, 02 hrs, 24 min",,Traffic Issue,0.1004282407,**********
61,mlekhanath-te-0-0-0-15:To-mkusma-LAG-BE13-te-0-0-12,,7/24/2025 19:43:59,7/24/2025 22:09:00,Traffic Congestion,********,Congestion,8th Shrawan,"0 days, 02 hrs, 25 min",,Traffic Issue,0.1007060185,**********
62,mhaleshi-sw1,FALSE,7/24/2025 20:13:00,7/24/2025 20:15:04,Switch,Eastern Region,Rebooted,8th Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001435185186,Prov1
63,mbasgadi-sw1,FALSE,7/24/2025 20:25:00,7/24/2025 21:35:59,Switch,Far Western Region,Routed,8th Shrawan,"0 days, 01 hrs, 10 min",,Fiber,0.04929398148,**********
64,mkaraiyamai-sw1,,7/24/2025 20:27:15,7/25/2025 6:43:48,Switch,********,Rebooted,8th Shrawan,"0 days, 10 hrs, 16 min",,Power,0.4281597222,Prov2
65,mhaleshi-sw1,FALSE,7/24/2025 21:05:04,7/25/2025 6:02:01,Switch,Eastern Region,Rebooted,8th Shrawan,"0 days, 08 hrs, 56 min",,Power,0.3728819444,Prov1
66,mjaygadh-sw1,,7/24/2025 22:04:25,8/3/2025 9:46:37,Switch,********,Switch damage,8th Shrawan,"9 days, 11 hrs, 42 min","As per Hemraj ji, the local support is far from the POP site and is expected to reach by 2 PM. We will provide an update accordingly once support arrives.",Device,9.487638889,Prov7
67,kohalpur - basgadi,,7/24/2025 20:25:00,7/28/2025 18:34:11,Link Down,********,Fiber Breakage,8th Shrawan,"3 days, 22 hrs, 09 min",Link is fine.kohalpur - basgadi segment is enabled and mbasgadi-sw1-mmainapokhar-sw1 segment is disabled.,Fiber,3.923043981,**********
68,mkataridanda-sw1,FALSE,7/24/2025 23:06:20,7/25/2025 5:51:19,Switch,Eastern Region,Rebooted,8th Shrawan,"0 days, 06 hrs, 44 min",,Power,0.2812384259,**********
69,mpatan-baitadi-sw1,,7/24/2025 23:48:23,7/25/2025 6:20:42,Switch,********,Rebooted,8th Shrawan,"0 days, 06 hrs, 32 min",,Power,0.2724421296,Prov7
1,mmidmarsyangdi-dam-sw1,FALSE,7/25/2025 0:16:01,7/25/2025 0:42:03,Switch,Highway PoP,Rebooted,9th Shrawan,"0 days, 00 hrs, 26 min",,Power,0.0180787037,Prov4
2,mkohalpurnmc-sw1,FALSE,7/25/2025 0:26:00,7/25/2025 0:32:00,Switch,Far Western Region,Rebooted,9th Shrawan,"0 days, 00 hrs, 06 min",,Power,0.004166666666,Prov5
3,mpathichaur-sw1,FALSE,7/25/2025 2:10:28,7/26/2025 9:10:48,Switch,Western Region,Unknown,9th Shrawan,"1 days, 07 hrs, 00 min",Informed to Bagbir ji to look into issue and update accordingly.,Unknown,1.291898148,Prov4
4,mbeltar-dls-sw1,FALSE,7/25/2025 2:32:00,7/25/2025 2:35:00,Switch,Eastern Region,Rebooted,9th Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002083333333,Prov1
5,mjujeneta-sw1,FALSE,7/25/2025 2:54:00,7/25/2025 2:56:00,Switch,Western Region,Rebooted,9th Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001388888886,Prov5
6,mbuditola-sw1,FALSE,7/25/2025 2:54:25,7/25/2025 5:56:40,Switch,Far Western Region,Rebooted,9th Shrawan,"0 days, 03 hrs, 02 min",,Power,0.1265625,Prov7
7,mkakanidanda-sw1,TRUE,7/25/2025 3:46:32,7/25/2025 8:41:33,Switch,Central Region,Rebooted,9th Shrawan,"0 days, 04 hrs, 55 min",,Power,0.2048726852,Prov3
8,mhatemalo-dls-sw1,FALSE,7/25/2025 4:03:37,7/25/2025 5:37:58,Switch,********,Unknown,9th Shrawan,"0 days, 01 hrs, 34 min",,Unknown,0.06552083333,Prov4
9,mbattisputali-sw1 - msinamangal-sw1,,7/25/2025 4:42:00,7/26/2025 17:41:00,Link Down,********,Fiber Breakage,9th Shrawan,"1 days, 12 hrs, 59 min", All team are busy with another task Team will look into the issue tomorrow ,Fiber,1.540972222,**********
10,mbouddha-sw1 - mpepsicola-sw1,,7/25/2025 4:55:00,7/31/2025 18:27:00,Optical Power,********,Optical Power,9th Shrawan,"6 days, 13 hrs, 32 min","As per Team, optical power has been maintained as much as possible for now ",Fiber,6.563888889,**********
11,mshivgunj-sw1,,7/25/2025 4:36:10,7/25/2025 5:21:45,Switch,********,Rebooted,9th Shrawan,"0 days, 00 hrs, 45 min",,Power,0.03165509259,Prov1
12,mdharan-sw1,FALSE,7/25/2025 4:46:00,7/25/2025 5:08:00,Switch,Eastern Region,Rebooted,9th Shrawan,"0 days, 00 hrs, 22 min",,Power,0.01527777778,Prov1
13,mjumlabazaar-sw1,TRUE,7/25/2025 5:42:47,7/25/2025 6:55:01,Switch,Far Western Region,Unknown,9th Shrawan,"0 days, 01 hrs, 12 min",,Unknown,0.05016203704,Prov6
14,mnaamdanda-sw1,TRUE,7/25/2025 5:32:52,7/25/2025 6:52:28,Switch,Central Region,Unknown,9th Shrawan,"0 days, 01 hrs, 19 min",,Unknown,0.05527777778,Prov3
15,mbuditola-sw1,FALSE,7/25/2025 6:16:40,7/25/2025 8:37:52,Switch,Far Western Region,Rebooted,9th Shrawan,"0 days, 02 hrs, 21 min",,Power,0.09805555556,Prov7
16,mjamune-sw1,FALSE,7/25/2025 6:22:31,7/25/2025 7:14:42,Switch,Highway PoP,Unknown,9th Shrawan,"0 days, 00 hrs, 52 min",,Unknown,0.03623842592,Prov4
17,mkalaiya - msimrangadh [40G],,7/25/2025 7:23:47,7/25/2025 7:49:00,Link Down,********,Fiber Breakage,9th Shrawan,"0 days, 00 hrs, 25 min",,Fiber,0.01751157407,**********
18,mkaraiyamai-sw1,,7/25/2025 7:18:49,7/25/2025 7:56:02,Switch,********,Rebooted,9th Shrawan,"0 days, 00 hrs, 37 min",,Power,0.0258449074,Prov2
19,mnepalgunj-sipradi-sw1,FALSE,7/25/2025 7:53:44,7/25/2025 10:55:55,Switch,Far Western Region,Unknown,9th Shrawan,"0 days, 03 hrs, 02 min","As per Shankar ji, the team is going to POP to investigate the matter and they will reach POP end in about 20 minutes. We will update further accordingly.",Unknown,0.1265162037,Prov5
20,mthada-amrai-sw1,FALSE,7/25/2025 8:16:23,7/25/2025 10:51:58,Switch,Western Region,Fiber Breakage,9th Shrawan,"0 days, 02 hrs, 35 min",,Fiber,0.1080439815,Prov5
21,mchandragadi,,7/25/2025 9:11:32,7/25/2025 9:22:17,MPLS,********,Rebooted,9th Shrawan,"0 days, 00 hrs, 10 min",,Power,0.007465277777,Prov1
22,millam,,7/25/2025 9:01:44,7/25/2025 10:42:57,MPLS,********,Rebooted,9th Shrawan,"0 days, 01 hrs, 41 min",,Power,0.07028935185,Prov1
23,mkohalpurnmc-sw1,FALSE,7/25/2025 9:31:12,7/25/2025 9:33:50,Switch,Far Western Region,Rebooted,9th Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001828703702,Prov5
24,msardi-sw1,FALSE,7/25/2025 9:42:08,7/25/2025 10:19:50,Switch,Western Region,Rebooted,9th Shrawan,"0 days, 00 hrs, 37 min",,Power,0.02618055556,Prov5
25,mkhanar-sw1,,7/25/2025 10:10:00,7/25/2025 10:12:48,Switch,********,Rebooted,9th Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001944444448,Prov1
26,msimrangadh,,7/25/2025 10:59:15,7/25/2025 11:11:22,MPLS,********,Rebooted,9th Shrawan,"0 days, 00 hrs, 12 min",,Power,0.008414351854,Prov2
27,mhetauda-warehouse-sw1,FALSE,7/25/2025 11:29:28,7/25/2025 12:20:38,Switch,Central Region,CT Line Issue/Backup Drained,9th Shrawan,"0 days, 00 hrs, 51 min",,Power,0.03553240741,Prov3
28,mkohalpurnmc-sw1,FALSE,7/25/2025 11:47:56,7/25/2025 11:50:26,Switch,Far Western Region,Rebooted,9th Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001736111109,Prov5
29,mchature-sw1,FALSE,7/25/2025 12:01:00,7/25/2025 13:45:07,Switch,Eastern Region,Rebooted,9th Shrawan,"0 days, 01 hrs, 44 min",,Power,0.07230324074,Prov1
30,mrampur-sw1,FALSE,7/25/2025 12:03:30,7/25/2025 12:43:39,Switch,Central Region,Rebooted,9th Shrawan,"0 days, 00 hrs, 40 min",,Power,0.02788194444,Prov3
31,mparasi-sw1,FALSE,7/25/2025 12:33:56,7/25/2025 13:17:58,Switch,Western Region,CT Line Issue,9th Shrawan,"0 days, 00 hrs, 44 min",,Power,0.0305787037,Prov5
32,msanothimi - mtinkune [100G],,7/25/2025 13:19:00,7/25/2025 16:50:00,Link Flap,********,Link Flap,9th Shrawan,"0 days, 03 hrs, 31 min",As  Per our Team There is fiber pulled  in kamalbinayak so the link is flapping our team are working for the same,Link Issue,0.1465277778,**********
33,msardi-sw1,FALSE,7/25/2025 13:11:54,7/25/2025 15:12:03,Switch,Western Region,Rebooted,9th Shrawan,"0 days, 02 hrs, 00 min",,Power,0.0834375,Prov5
34,mjujeneta-sw1,FALSE,7/25/2025 13:17:25,7/25/2025 17:01:46,Switch,Western Region,Rebooted,9th Shrawan,"0 days, 03 hrs, 44 min",,Power,0.1557986111,Prov5
35,mitahari <->mdharan,,7/25/2025 13:33:44,7/25/2025 15:22:00,Link Down,********,Fiber Breakage,9th Shrawan,"0 days, 01 hrs, 48 min",Informed to Om ji,Fiber,0.07518518518,**********
36,mbhumahi-sw1,FALSE,7/25/2025 13:47:38,7/25/2025 14:19:48,Switch,Western Region,Unknown,9th Shrawan,"0 days, 00 hrs, 32 min",,Unknown,0.02233796296,Prov5
37,mkaraiyamai-sw1,,7/25/2025 13:42:07,7/25/2025 14:14:18,Switch,********,Rebooted,9th Shrawan,"0 days, 00 hrs, 32 min",,Power,0.02234953704,Prov2
38,mchature-sw1,FALSE,7/25/2025 14:05:05,7/26/2025 9:10:48,Switch,Eastern Region,Unknown,9th Shrawan,"0 days, 19 hrs, 05 min",,Unknown,0.7956365741,Prov1
39,mkohalpurnmc-sw1,FALSE,7/25/2025 14:29:05,7/25/2025 14:38:00,Switch,Far Western Region,Rebooted,9th Shrawan,"0 days, 00 hrs, 08 min",,Power,0.006192129629,Prov5
